Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,4872,5588,5645,5592,5728,5798,5990,5960,6100,6189,6554,6583
Expenses,3857,4435,4569,4456,4598,4617,4868,4823,4926,4961,5270,5353
Operating Profit,1015,1153,1076,1137,1129,1181,1122,1137,1174,1228,1284,1230
OPM %,21,21,19,20,20,20,19,19,19,20,20,19
Other Income,25,-212,-32,85,29,-7,926,-46,-38,183,63,-93
Interest,137,184,186,170,189,187,182,177,202,201,182,186
Depreciation,605,603,651,634,648,637,672,666,679,751,731,739
Profit before tax,298,154,207,417,321,350,1193,249,255,458,434,211
Tax %,26,74,-52,21,30,36,15,26,32,22,42,41
Net Profit,221,45,322,333,227,236,1041,190,183,364,259,130
EPS in Rs,7.74,1.57,11.27,11.68,7.97,8.28,36.5,6.67,6.42,12.82,9.24,4.71
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,16772,16525,17068,17100,16725,17838,20969,23109,24803,25426,,
Expenses,14359,13780,13779,12840,12498,13520,16739,18540,19980,20510,,
Operating Profit,2412,2745,3289,4261,4227,4318,4230,4569,4822,4916,,
OPM %,14,17,19,25,25,24,20,20,19,19,,
Other Income,-116,62,-321,82,338,440,47,1033,162,114,,
Interest,344,397,471,420,360,432,644,729,762,771,,
Depreciation,1906,2068,2358,2314,2205,2262,2470,2592,2827,2900,,
Profit before tax,46,343,140,1609,2000,2063,1163,2281,1396,1358,,
Tax %,778,80,162,22,26,14,18,21,31,—,,
Net Profit,-326,-80,-85,1252,1485,1801,970,1837,997,936,,
EPS in Rs,-11.53,-2.89,-3.02,43.88,51.99,63.02,33.98,64.43,35.14,33.19,,
Dividend Payout %,-39,-156,-133,32,40,33,49,39,50,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,285,285,285,285,285,285,285,285,285,285,,
Reserves,1307,214,-467,-1563,-170,643,1233,1501,2736,3162,,
Borrowings,9214,8927,9935,12413,11394,9122,8577,11263,12357,12249,,
Other Liabilities,10228,10131,10198,10996,9797,9588,10424,11316,11065,12591,,
Total Liabilities,21033,19557,19951,22131,21306,19638,20519,24365,26444,28287,,
Fixed Assets,10929,10797,11289,12768,11520,10936,10500,13467,13919,15481,,
CWIP,751,520,361,349,493,852,1148,1327,1100,850,,
Investments,2434,1250,1491,1563,2233,1565,1951,1608,2714,2297,,
Other Assets,6920,6990,6809,7451,7060,6284,6921,7963,8711,9659,,
Total Assets,21033,19557,19951,22131,21306,19638,20519,24365,26444,28287,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,2394,1713,1844,2525,3180,4204,4384,3182,2911,4479,,
Cash from Investing Activity,940,-500,-2284,-1521,-2007,-894,-1836,-2641,-2173,-1434,,
Cash from Financing Activity,-3276,-959,-28,-942,-1205,-3431,-2241,-813,-936,-2937,,
Net Cash Flow,58,254,-467,61,-32,-121,308,-272,-198,108,,
Free Cash Flow,598,102,106,844,1828,2554,2899,1110,711,2060,,
CFO/OP,130,82,88,85,86,97,106,80,82,108,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,54,64,66,69,56,56,56,65,63,61,,
Cash Conversion Cycle,54,64,66,69,56,56,56,65,63,61,,
Working Capital Days,-105,-125,-124,-150,-88,-103,-119,-151,-107,-120,,
ROCE %,23,8,8,9,18,22,24,18,15,15,,
