Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%,73.15%
FIIs,5.89%,5.9%,6.1%,7.57%,7.53%,7.23%,5.82%,6.79%,7.11%,6.74%,6.6%,6.4%
DIIs,14.92%,14.78%,14.53%,12.74%,12.68%,12.79%,14.11%,13.59%,12.89%,12.91%,12.9%,13.36%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,4.29%,4.44%,4.74%,4.98%,5.06%,5.2%,5.23%,4.75%,5%,5.33%,5.48%,5.23%
Others,1.75%,1.74%,1.48%,1.58%,1.59%,1.64%,1.7%,1.73%,1.85%,1.87%,1.87%,1.86%
No. of Shareholders,50103,57926,64377,72853,78402,83959,95380,97712,105014,113869,115917,116877
