Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,844,836,809,861,957,943,931,1031,1099,1121,1159,1304
Expenses,631,620,629,675,728,706,707,784,868,904,915,1017
Operating Profit,213,216,179,186,228,238,225,247,231,217,244,287
OPM %,25,26,22,22,24,25,24,24,21,19,21,22
Other Income,21,18,27,22,18,16,-27,20,36,-15,37,22
Interest,20,18,18,18,16,16,15,14,17,22,27,27
Depreciation,43,44,45,47,49,48,49,45,50,61,67,69
Profit before tax,171,172,143,144,181,189,133,208,200,120,187,213
Tax %,27,28,11,26,28,24,24,24,21,21,24,26
Net Profit,125,124,127,106,131,143,101,159,158,95,142,157
EPS in Rs,4.66,4.61,4.74,3.96,4.87,5.32,3.78,5.92,5.89,3.54,5.36,5.9
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1343,1456,1500,1447,2167,2710,3275,3692,4410,4683,,
Expenses,1218,1283,1309,1250,1709,2073,2466,2806,3480,3705,,
Operating Profit,125,172,192,197,458,637,809,886,930,979,,
OPM %,9,12,13,14,21,24,25,24,21,21,,
Other Income,49,50,44,31,39,49,75,29,98,80,,
Interest,28,38,57,73,86,86,84,74,90,92,,
Depreciation,86,102,115,123,130,150,173,194,223,246,,
Profit before tax,60,83,64,32,281,449,627,647,715,720,,
Tax %,45,38,43,11,30,27,24,26,23,—,,
Net Profit,33,51,36,29,196,326,478,481,554,552,,
EPS in Rs,6.78,10.44,7.36,5.81,7.75,12.16,17.81,17.92,20.7,20.69,,
Dividend Payout %,0,0,0,0,0,0,0,0,2,—,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,48,48,49,49,50,51,54,54,54,54,,
Reserves,976,1136,1246,1300,1333,1565,2375,2852,3333,3908,,
Borrowings,165,456,787,929,931,1109,1122,802,718,1190,,
Other Liabilities,295,343,347,388,380,421,547,572,662,753,,
Total Liabilities,1485,1984,2430,2666,2694,3146,4097,4280,4766,5905,,
Fixed Assets,914,1094,1194,1703,1616,1776,2050,2236,2514,3795,,
CWIP,12,317,666,382,464,439,327,388,533,132,,
Investments,0,0,0,0,0,0,0,0,3,3,,
Other Assets,559,573,570,581,615,930,1720,1656,1716,1975,,
Total Assets,1485,1984,2430,2666,2694,3146,4097,4280,4766,5905,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,228,63,166,175,242,311,645,612,624,714,,
Cash from Investing Activity,-241,-69,-249,-87,-239,-421,-342,-441,-721,-1089,,
Cash from Financing Activity,-7,9,97,-1,-81,160,346,-514,-97,272,,
Net Cash Flow,-20,3,14,87,-78,50,648,-343,-194,-103,,
Free Cash Flow,71,-81,-133,-13,100,38,409,335,110,-123,,
CFO/OP,108,93,135,121,131,89,118,98,89,90,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,20,41,41,36,34,30,26,24,29,34,,
Inventory Days,28,26,26,43,42,36,35,32,28,29,,
Days Payable,92,124,142,147,138,90,114,90,81,89,,
Cash Conversion Cycle,-45,-56,-75,-67,-62,-24,-52,-34,-24,-26,,
Working Capital Days,-23,-33,-18,-31,-48,-20,-37,-32,-21,-7,,
ROCE %,—,—,6,6,5,15,17,20,20,17,,
