Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,5386,4349,2643,4933,4346,4918,2449,5698,6413,5898,2785,5027
Expenses,4771,3720,2477,4181,3556,4140,2285,4937,5571,5078,2530,4201
Operating Profit,615,628,166,752,790,778,163,761,842,821,255,826
OPM %,11,14,6,15,18,16,7,13,13,14,9,16
Other Income,90,151,73,86,80,95,86,79,88,36,53,27
Interest,46,36,36,40,1,7,0,2,1,1,3,17
Depreciation,78,79,78,82,83,83,82,84,87,88,90,89
Profit before tax,581,664,126,716,786,783,168,754,842,768,215,747
Tax %,34,31,23,37,32,32,22,27,23,24,21,30
Net Profit,381,459,97,448,536,534,130,549,649,586,169,524
EPS in Rs,9.15,11.04,2.42,11.19,13.39,13.34,3.25,13.7,16.19,14.64,4.22,13.07
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,7541,10095,12206,12719,16069,27773,17966,16646,20794,20123,,
Expenses,6730,8894,10281,10249,13804,25951,15919,14145,18100,17380,,
Operating Profit,811,1200,1925,2470,2265,1822,2047,2501,2694,2743,,
OPM %,11,12,16,19,14,7,11,15,13,14,,
Other Income,172,-2,192,470,374,222,326,329,240,203,,
Interest,157,247,504,291,109,320,173,48,7,21,,
Depreciation,85,119,287,289,300,308,313,330,349,354,,
Profit before tax,740,832,1327,2360,2231,1416,1887,2452,2578,2572,,
Tax %,33,30,8,26,30,27,32,33,24,—,,
Net Profit,495,585,1226,1748,1566,1034,1276,1649,1953,1928,,
EPS in Rs,11.99,14.18,29.46,39.76,37.62,24.85,31.84,41.17,48.76,48.12,,
Dividend Payout %,16,14,14,19,20,30,24,24,23,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,416,416,416,416,416,416,416,401,401,401,,
Reserves,1707,2089,2467,3123,4833,5983,6652,6873,8327,10007,,
Borrowings,4619,6079,9045,10113,3936,4337,3358,1874,99,1068,,
Other Liabilities,1315,877,1997,880,1062,2553,2344,2361,2580,2927,,
Total Liabilities,8057,9462,13925,14533,10247,13289,12770,11509,11407,14402,,
Fixed Assets,1162,1234,6905,6701,6480,6358,6262,6423,6221,6110,,
CWIP,1712,4135,121,85,161,157,103,184,650,1389,,
Investments,174,207,300,217,298,559,2377,2431,1372,1081,,
Other Assets,5009,3886,6598,7529,3308,6215,4028,2471,3164,5823,,
Total Assets,8057,9462,13925,14533,10247,13289,12770,11509,11407,14402,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1280,1172,-1130,827,6944,-24,3239,3327,1394,138,,
Cash from Investing Activity,-703,-1784,-1132,-462,-195,-119,-1872,-382,739,-481,,
Cash from Financing Activity,-500,564,2263,-283,-6007,-213,-1862,-2871,-2135,543,,
Net Cash Flow,76,-49,2,82,742,-356,-495,73,-2,200,,
Free Cash Flow,400,-1250,-2334,177,6708,-188,3045,2718,824,-754,,
CFO/OP,191,170,-76,56,295,14,193,179,71,32,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,147,123,175,166,34,49,23,4,8,36,,
Inventory Days,65,63,79,60,39,119,25,42,71,63,,
Days Payable,18,24,59,29,19,57,22,27,25,26,,
Cash Conversion Cycle,193,161,195,198,54,111,26,19,54,73,,
Working Capital Days,17,19,-5,14,21,39,8,0,30,41,,
ROCE %,11,12,12,14,20,23,16,20,27,25,,
