Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1229,1245,1497,1508,1354,1237,1223,1201,1242,1454,1511,2005
Expenses,586,595,561,597,701,626,721,559,514,619,570,668
Operating Profit,643,650,937,911,654,611,502,643,728,836,941,1338
OPM %,52,52,63,60,48,49,41,54,59,57,62,67
Other Income,232,151,229,195,225,264,150,135,140,282,346,281
Interest,77,67,59,61,64,61,51,45,44,25,23,20
Depreciation,187,194,166,197,206,205,205,197,224,246,222,234
Profit before tax,612,540,942,848,610,608,396,536,601,847,1043,1365
Tax %,3,0,4,4,6,2,8,6,3,4,0,4
Net Profit,595,538,905,812,576,594,363,504,581,813,1044,1309
EPS in Rs,41.65,37.7,63.4,56.87,40.32,41.58,25.43,35.34,40.72,56.91,73.13,91.68
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3038,3547,3687,3337,3509,5690,5255,5323,5409,6213,,
Expenses,1838,2480,2470,1683,1969,2563,2234,2646,2261,2370,,
Operating Profit,1200,1067,1217,1653,1540,3128,3022,2677,3148,3843,,
OPM %,40,30,33,50,44,55,58,50,58,62,,
Other Income,102,269,211,232,148,481,664,834,903,1049,,
Interest,455,521,450,242,370,343,265,236,136,111,,
Depreciation,769,773,743,700,698,712,726,813,889,926,,
Profit before tax,79,42,235,943,620,2554,2694,2462,3026,3855,,
Tax %,367,151,12,3,-2,-1,3,5,3,—,,
Net Profit,-210,-21,207,919,630,2575,2614,2344,2943,3747,,
EPS in Rs,-13.96,-1.42,14.09,62.5,44.09,180.36,183.11,164.2,206.11,262.44,,
Dividend Payout %,-52,-380,57,14,22,16,20,18,17,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,151,151,151,147,147,143,143,143,143,143,,
Reserves,7073,6777,6659,6649,7557,7909,10133,12255,14116,16820,,
Borrowings,6816,6213,5999,5295,5047,4655,3649,3048,2163,1087,,
Other Liabilities,1363,1523,1562,1742,1394,1262,1284,1362,1233,1411,,
Total Liabilities,15402,14664,14370,13833,14145,13969,15209,16808,17656,19460,,
Fixed Assets,10304,9809,9617,9123,9042,8877,8450,8329,8247,9339,,
CWIP,22,13,14,123,24,24,35,59,21,46,,
Investments,875,856,601,963,1350,1157,1510,1970,2289,2392,,
Other Assets,4201,3986,4138,3624,3729,3910,5215,6450,7099,7684,,
Total Assets,15402,14664,14370,13833,14145,13969,15209,16808,17656,19460,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1522,969,1096,1481,1534,1323,2975,2808,2647,2854,,
Cash from Investing Activity,-1548,-412,429,622,-882,-337,39,-868,-148,-860,,
Cash from Financing Activity,713,-1158,-1020,-1872,-505,-1189,-1893,-1330,-1675,-1769,,
Net Cash Flow,687,-602,505,230,147,-203,1120,610,824,225,,
Free Cash Flow,-389,498,481,1385,1013,911,2776,2373,2472,1276,,
CFO/OP,115,90,110,127,93,85,95,94,102,93,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,24,30,31,34,30,33,37,45,33,43,,
Cash Conversion Cycle,24,30,31,34,30,33,37,45,33,43,,
Working Capital Days,-207,-163,-132,-36,-67,-55,-16,-16,-21,33,,
ROCE %,8,4,4,4,9,7,21,19,14,16,,
