Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,38.08%,—,282.03%
,ebitda margin growth,5.73%,24.36%,33.28%,56.2%
,net income growth,1.27%,176.66%,122%,28%
,revenue growth,5.04%,26.05%,25%,33%
,roce,5.44%,86.99%,141.88%,11.81%
,roe,1.28%,147.36%,7.49%,342.35%
