Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,6.68%,-3.21%,16.78%
,ebitda margin growth,11.49%,9.85%,55.61%,-20.09%
,net income growth,9.58%,12.99%,1%,2%
,revenue growth,4.94%,5.58%,2%,8%
,roce,14.57%,5.54%,68.82%,18.9%
,roe,9.58%,4.44%,13.37%,-22.28%
