Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,62.12%,93.52%,385.49%
,ebitda margin growth,-21.26%,18.79%,44.18%,80.76%
,net income growth,-29.65%,105.11%,227%,42%
,revenue growth,-9.74%,29.47%,22%,24%
,roce,-28.19%,44.57%,42.41%,10.81%
,roe,-29.69%,75.84%,10.18%,—
