Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-35.02%,—,230.75%
,ebitda margin growth,0.48%,8.05%,16.37%,24.43%
,net income growth,5.86%,20.64%,35%,43%
,revenue growth,-9.29%,4.62%,12%,8%
,roce,1.8%,-0.38%,6.87%,4.84%
,roe,5.86%,8.47%,12.39%,124.37%
