Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,343,330,1426,739,1093,969,2122,435,740,498,3458,506
Expenses,438,397,1303,926,1064,960,2047,705,1336,695,2936,800
Operating Profit,-95,-66,123,-187,29,9,75,-270,-596,-197,522,-294
OPM %,-28,-20,9,-25,2.6,1,3.5,-62,-80,-40,15,-58
Other Income,262,218,526,960,253,271,559,1186,1210,514,434,839
Interest,48,43,31,41,45,42,46,33,22,31,52,36
Depreciation,7,14,16,17,18,18,21,22,26,32,36,30
Profit before tax,111,95,601,716,219,220,567,861,566,255,869,480
Tax %,35,34,20,28,-52,28,33,30,29,24,26,27
Net Profit,73,63,478,519,334,158,378,598,403,194,645,349
EPS in Rs,2.4,2.24,16.95,18.7,12.06,5.4,12.68,19.92,13.45,6.48,21.58,11.62
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1604,2817,2441,765,1825,2252,3036,4923,5131,5203,,
Expenses,1819,2639,2181,1214,1880,2045,3165,4997,5585,5767,,
Operating Profit,-216,178,260,-449,-56,207,-130,-74,-453,-564,,
OPM %,-13,6,11,-59,-3,9,-4.3,-1.5,-9,-11,,
Other Income,499,419,473,568,761,787,1326,2044,3256,2997,,
Interest,150,234,220,185,167,174,152,174,137,140,,
Depreciation,16,14,21,20,21,24,45,74,116,124,,
Profit before tax,117,348,493,-86,516,795,1000,1723,2551,2170,,
Tax %,26,27,44,121,32,22,25,19,28,—,,
Net Profit,87,253,274,-189,351,621,747,1389,1841,1592,,
EPS in Rs,4.01,11.04,10.73,-6.82,12.68,20.55,26.08,46.48,61.43,53.13,,
Dividend Payout %,0,0,0,0,0,0,0,0,16,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,108,108,115,126,139,139,139,139,151,151,,
Reserves,1896,1102,2354,4678,8181,8536,9125,9853,17162,19005,,
Borrowings,3980,3703,3516,3715,4542,5196,6431,10679,12641,15894,,
Other Liabilities,1197,3358,2107,1586,3385,3932,7410,15063,25496,46540,,
Total Liabilities,7181,8271,8092,10106,16247,17804,23105,35735,55450,81590,,
Fixed Assets,102,113,97,113,174,183,218,997,1271,1708,,
CWIP,0,71,100,163,229,340,653,250,116,172,,
Investments,760,1454,2637,3571,5243,4883,2534,3150,5951,5511,,
Other Assets,6319,6633,5259,6259,10600,12397,19700,31337,48112,74199,,
Total Assets,7181,8271,8092,10106,16247,17804,23105,35735,55450,81590,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-566,1155,478,-232,-671,-452,-2861,-693,-2242,-2003,,
Cash from Investing Activity,14,-973,-971,-1721,-3317,127,2564,-1974,-4273,664,,
Cash from Financing Activity,335,-493,970,1974,4259,235,832,3258,6710,938,,
Net Cash Flow,-217,-311,476,22,271,-90,536,591,194,-402,,
Free Cash Flow,-575,1005,404,-295,-797,-592,-3161,-1386,-2450,-2382,,
CFO/OP,-161,-568,290,-79,153,469,-1301,330,2689,359,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,53,36,21,65,114,38,58,37,32,39,,
Inventory Days,—,5457,495,—,—,—,—,—,—,—,,
Days Payable,—,457,56,—,—,—,—,—,—,—,,
Cash Conversion Cycle,53,5035,461,65,114,38,58,37,32,39,,
Working Capital Days,262,-251,-128,-32,912,476,533,602,612,547,,
ROCE %,7,1,10,9,1,5,6,6,7,8,,
