Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,8.94%,-0.32%,437.76%
,ebitda margin growth,-11.97%,13.79%,0.94%,-4.45%
,net income growth,-14.85%,89.08%,45%,195%
,revenue growth,3.13%,42.72%,36%,33%
,roce,-14.29%,31.31%,29.63%,21.22%
,roe,-14.85%,43.98%,16.84%,199.86%
