Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,552,602,599,616,650,744,701,737
Expenses,519,525,542,571,575,612,594,642
Operating Profit,32,77,57,45,75,132,106,95
OPM %,6,13,9,7,12,18,15,13
Other Income,22,-30,12,37,23,23,50,29
Interest,18,22,22,21,21,24,17,13
Depreciation,75,76,69,65,66,68,71,73
Profit before tax,-38,-51,-22,-5,11,63,68,38
Tax %,-16,11,30,-199,47,32,13,48
Net Profit,-32,-57,-29,5,6,42,59,20
EPS in Rs,-0.38,-0.67,-0.34,0.11,0.13,0.37,0.52,0.17
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
---,---,---,---,---,---,---,---,---
Sales,848,670,932,1598,1770,2274,2711,2832
Expenses,760,560,820,1592,1794,2056,2352,2423
Operating Profit,87,110,112,5,-25,218,358,409
OPM %,10,16,12,0.3,-1.4,10,13,14
Other Income,18,13,25,56,55,16,133,125
Interest,18,22,24,36,64,79,84,76
Depreciation,155,175,189,315,363,292,270,278
Profit before tax,-68,-74,-75,-289,-398,-136,137,180
Tax %,-30,-25,-70,-8,-14,7,18,—
Net Profit,-47,-56,-23,-265,-342,-145,113,127
EPS in Rs,-3.95,-4.34,-1.67,-18.99,-4.07,-1.73,0.98,1.19
Dividend Payout %,0,0,0,0,0,0,0,—
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Equity Capital,12,13,14,0.02,0.1,0.1,115,
Reserves,1035,1178,1900,3664,3466,3431,5781,
Borrowings,176,191,236,514,730,1046,441,
Other Liabilities,2225,3185,4111,5141,5422,6222,6952,
Total Liabilities,3448,4567,6260,9318,9618,10698,13288,
Fixed Assets,1017,980,1019,2103,1920,1825,1856,
CWIP,52,48,122,269,222,160,148,
Investments,40,34,50,18,21,30,28,
Other Assets,2338,3505,5070,6928,7455,8683,11256,
Total Assets,3448,4567,6260,9318,9618,10698,13288,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Cash from Operating Activity,11,111,-79,-152,-229,50,395,
Cash from Investing Activity,112,-260,-443,-441,-22,-486,-2045,
Cash from Financing Activity,1431,823,1644,2,-220,-201,1972,
Net Cash Flow,1554,674,1122,-591,-471,-637,322,
Free Cash Flow,-156,-54,-407,-517,-486,-99,161,
CFO/OP,86,114,-25,-1258,872,5,112,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Debtor Days,92,196,116,135,134,136,140,
Inventory Days,5,23,—,134,65,38,32,
Days Payable,144,1345,—,1233,908,693,382,
Cash Conversion Cycle,-47,-1126,116,-964,-708,-519,-210,
Working Capital Days,-722,-1252,-1255,-813,-807,-762,-609,
ROCE %,—,-4,-3,-7,-8,0,4,
