Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,311.64%,13.34%,400.46%
,ebitda margin growth,82.97%,16.03%,-15.88%,-7.13%
,net income growth,98.4%,21.34%,1%,7%
,revenue growth,67.67%,3.16%,3%,6%
,roce,—,16.52%,-12.83%,30.15%
,roe,—,16.61%,23.05%,-9.08%
