Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1012,1056,1286,771,1143,1148,1758,1069,1119,1350,1484,1094
Expenses,821,746,998,594,946,910,1492,827,1045,1164,1175,901
Operating Profit,191,310,288,177,197,237,266,241,74,187,310,193
OPM %,19,29,22,23,17,21,15,23,7,14,21,18
Other Income,89,58,80,84,101,47,157,54,127,71,157,67
Interest,10,8,7,7,9,11,12,12,20,28,32,25
Depreciation,19,20,19,19,26,32,27,34,31,33,32,32
Profit before tax,251,340,342,236,263,242,384,250,150,197,403,202
Tax %,28,28,24,26,28,27,25,25,28,26,31,25
Net Profit,182,244,259,174,189,177,287,188,108,145,276,151
EPS in Rs,6.9,9.29,9.84,6.62,7.18,6.73,10.92,7.14,4.09,5.5,10.51,5.76
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2355,2966,3422,2819,3191,2365,3830,4820,5022,5047,,
Expenses,1891,2394,2711,2096,2564,2103,2949,3925,4190,4284,,
Operating Profit,465,571,711,723,627,262,882,895,831,763,,
OPM %,20,19,21,26,20,11,23,19,17,15,,
Other Income,189,226,245,203,260,269,310,389,409,423,,
Interest,12,15,50,58,53,43,46,55,111,106,,
Depreciation,38,34,49,60,68,69,75,103,130,128,,
Profit before tax,604,748,858,808,766,418,1071,1125,999,952,,
Tax %,34,36,26,25,26,27,27,26,28,—,,
Net Profit,396,478,632,609,564,305,783,827,717,680,,
EPS in Rs,14.58,18.17,24.02,23.13,21.44,11.58,29.77,31.45,27.24,25.86,,
Dividend Payout %,41,36,35,34,39,73,33,31,33,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,136,132,132,132,132,132,132,132,132,,,
Reserves,3120,3197,3591,3902,4262,4296,4872,5448,5741,,,
Borrowings,123,123,123,540,554,587,502,560,1672,,,
Other Liabilities,2109,1799,2565,2976,3467,5006,6531,7253,6986,,,
Total Liabilities,5487,5251,6411,7549,8414,10021,12037,13393,14531,,,
Fixed Assets,349,376,764,867,970,953,968,3047,3164,,,
CWIP,121,342,799,1176,1264,1619,2196,516,587,,,
Investments,0,0,0,0,0,0,0,0,113,,,
Other Assets,5017,4532,4848,5506,6180,7449,8873,9830,10667,,,
Total Assets,5487,5251,6411,7549,8414,10021,12037,13393,14531,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,631,-451,253,710,1398,1889,-172,-284,-1234,,,
Cash from Investing Activity,-1312,1074,-97,-443,-1007,-35,481,538,327,,,
Cash from Financing Activity,812,-409,-309,-405,-239,-276,-371,-243,696,,,
Net Cash Flow,131,214,-154,-138,152,1578,-62,10,-211,,,
Free Cash Flow,556,-738,-242,280,1135,1553,-805,-541,-1385,,,
CFO/OP,169,-44,61,113,247,765,2,-15,-133,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,90,48,31,46,50,52,29,17,31,,,
Inventory Days,98,70,65,139,67,122,216,325,379,,,
Days Payable,83,84,85,130,38,71,98,85,159,,,
Cash Conversion Cycle,104,34,10,54,79,103,147,257,250,,,
Working Capital Days,-114,-27,9,-8,-95,-423,-168,-54,16,,,
ROCE %,—,22,25,20,17,8,21,20,16,,,
