Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,97.86%,-102.33%,94.09%
,ebitda margin growth,5.06%,-2.84%,125.2%,-210.87%
,net income growth,7.08%,14.17%,66%,-971.55%
,revenue growth,0.86%,18.57%,60%,62.33%
,roce,5.92%,-40.48%,-227.41%,12.41%
,roe,7.09%,-42.56%,9.16%,-346.07%
