Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,34.42%,30.58%,-430.87%
,ebitda margin growth,1.8%,-2.56%,1.12%,7.57%
,net income growth,14.8%,10.62%,17%,13%
,revenue growth,2.47%,15.3%,21%,13%
,roce,2.23%,-4.93%,5.46%,9.07%
,roe,14.8%,-2.04%,13.35%,39.92%
