Item,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,39.88%,39.87%,39.85%,39.85%,39.85%,39.85%
FIIs,25.37%,25.36%,25.49%,16.09%,14.57%,11.61%
DIIs,21.61%,20.61%,20.2%,21.13%,21.46%,23.99%
Government,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%
Public,10.7%,11.49%,11.8%,12.93%,13.72%,14.38%
Others,2.41%,2.64%,2.63%,9.97%,10.38%,10.15%
No. of Shareholders,2573730,2489470,2418410,2368220,2325720,2286420
