Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-3.77%,-75.01%,-69.47%
,ebitda margin growth,-0.83%,1.42%,0.68%,-1.93%
,net income growth,-11.51%,14.22%,15%,18%
,revenue growth,-0.77%,25.46%,19%,19%
,roce,-0.7%,3.82%,4.55%,8.83%
,roe,-11.5%,-1.07%,12.93%,9.52%
