Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,27290,28492,29286,29173,30182,30751,31496,31523,32072,30938,31839,32957
Expenses,10859,12001,13198,12010,12066,10752,12124,13141,13251,4002,8870,10391
Financing Profit,-1504,-2129,-3138,-2371,-2312,-1165,-2185,-3610,-3591,4227,944,-172
Financing Margin %,-6,-7,-11,-8,-8,-4,-7,-11,-11,14,3,-1
Other Income,6602,7138,8098,7793,7824,6679,8761,8086,9942,2152,4700,6739
Interest,17934,18620,19226,19534,20427,21163,21556,21992,22412,22709,22024,22737
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,5098,5009,4960,5422,5513,5515,6576,4475,6351,6379,5644,6567
Tax %,28,25,24,27,26,25,22,33,23,24,22,26
Net Profit,3829,3827,3991,4098,4227,4256,5111,3233,4896,5174,4575,5182
EPS in Rs,4.19,4.18,4.36,4.48,4.62,4.65,5.59,3.52,5.35,5.79,5.04,5.71
Gross NPA %,4.76,4.39,4.23,4.14,3.73,3.34,2.94,2.69,2.35,2.08,1.84,1.57
Net NPA %,1.41,1.32,1.27,1.24,0.99,0.89,0.7,0.63,0.54,0.45,0.43,0.36
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,41345,47951,49759,70253,70614,85885,110519,121601,126371,127805,,
Expenses,25582,27202,26809,43437,41235,42772,46146,46082,38340,36515,,
Financing Profit,-13350,-11590,-12867,-18367,-13657,-9877,-7745,-7162,-1106,1408,,
Financing Margin %,-32,-24,-26,-26,-19,-12,-7,-6,-1,1,,
Other Income,7398,9907,11799,23086,23643,25325,28646,31057,26712,23532,,
Interest,29113,32339,35817,45182,43035,52990,72118,82681,89138,89883,,
Depreciation,456,429,446,838,841,1021,902,870,925,0,,
Profit before tax,-6408,-2111,-1514,3882,9145,14427,20000,23025,24681,24940,,
Tax %,-36,-126,34,30,37,25,26,25,23,—,,
Net Profit,-3873,696,-1921,2957,6158,11345,15401,17692,19712,19828,,
EPS in Rs,-10.78,1.6,-3.86,3.51,6.75,12.41,16.84,19.34,19.7,21.89,,
Dividend Payout %,0,0,0,0,19,19,19,21,21,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,597,733,753,1030,1647,1814,1814,1814,1814,1814,,
Reserves,34088,36164,36936,40176,60763,68147,76240,90319,103603,115891,,
Borrowing,39592,38910,41043,42762,50013,46285,58073,57538,89665,155288,,
Deposits,495266,524847,599123,625408,1010985,1086341,1179086,1312242,1456495,1568333,,
Other Liabilities,26615,30781,33928,32064,56132,56202,65816,73104,80950,45999,,
Total Liabilities,596159,631435,711783,741440,1179540,1258789,1381030,1535018,1732527,1887325,,
Fixed Assets,7185,8335,8433,8323,11269,11447,10334,12184,10302,10595,,
CWIP,0,0,0,0,2,2,0,147,0,0,,
Investments,162073,157444,168678,192645,286191,311347,352893,399207,428024,407389,,
Other Assets,426901,465657,534672,540472,882077,935992,1017803,1123480,1294201,1469341,,
Total Assets,596159,631435,711783,741440,1179540,1258789,1381030,1535018,1732527,1887325,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,2575,-11120,18237,-5289,59118,919,-39978,15046,60669,7942,,
Cash from Investing Activity,-476,-487,-745,-445,-1116,-1429,-1156,-1750,-2437,-2707,,
Cash from Financing Activity,124,2865,-1185,7792,290,4035,445,-3834,-3506,-4795,,
Net Cash Flow,2224,-8743,16307,2059,58291,3525,-40689,9462,54725,440,,
Free Cash Flow,2195,-11580,17631,-5627,58195,98,-40591,13793,61830,6652,,
CFO/OP,17,-61,94,-30,226,17,-83,28,86,12,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,4,-11,2,-5,6,9,15,18,18,16,,
