Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-78.67%,-248.33%,—
,ebitda margin growth,-6.14%,11.48%,7.12%,2.3%
,net income growth,-16.86%,98.17%,43%,23%
,revenue growth,-6.42%,54.27%,38%,22%
,roce,-6.25%,12.14%,-0.32%,15.1%
,roe,-16.85%,49.41%,20.62%,26.64%
