Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-23.32%,-31.65%,45.47%
,ebitda margin growth,-11.84%,1.3%,-2.51%,21.48%
,net income growth,-15.19%,22.99%,10%,70%
,revenue growth,-4.44%,25.73%,21%,33%
,roce,-14.06%,-38.76%,-47.66%,37.57%
,roe,-15.18%,-39.42%,22.52%,-76.72%
