Item,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1227,1269,1331,1420,1515,1542,1564
Expenses,347,375,385,372,374,374,432
Operating Profit,880,894,946,1047,1140,1168,1133
OPM %,72,70,71,74,75,76,72
Other Income,-25,51,147,72,109,-90,181
Interest,5,5,5,4,4,5,5
Depreciation,21,24,25,27,26,28,28
Profit before tax,828,917,1062,1089,1219,1046,1281
Tax %,24,25,26,23,25,27,25
Net Profit,632,692,784,835,917,769,965
EPS in Rs,357.94,391.86,44.39,47.33,18.55,15.55,19.52
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
---,---,---,---,---,---,---,---
Sales,2230,2634,2837,3758,4977,5999,6040
Expenses,513,641,766,981,1343,1471,1552
Operating Profit,1717,1993,2072,2777,3635,4528,4488
OPM %,77,76,73,74,73,75,74
Other Income,4,1,1,3,2,2,272
Interest,16,14,15,16,19,18,17
Depreciation,47,51,50,66,85,106,108
Profit before tax,1658,1929,2007,2698,3533,4407,4634
Tax %,25,25,24,24,25,25,—
Net Profit,1245,1454,1516,2050,2651,3298,3486
EPS in Rs,705.51,823.75,858.7,1161.18,1501.61,66.73,100.95
Dividend Payout %,75,84,84,76,81,153,—
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,
Equity Capital,18,18,18,18,18,49,
Reserves,1745,2000,2295,2865,3499,4122,
Borrowings,112,118,116,0,0,0,
Other Liabilities,240,310,356,630,810,832,
Total Liabilities,2115,2445,2784,3513,4327,5003,
Fixed Assets,134,137,150,199,309,634,
CWIP,3,4,7,6,289,7,
Investments,1772,2041,2287,2883,3285,3857,
Other Assets,207,262,340,424,444,505,
Total Assets,2115,2445,2784,3513,4327,5003,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,
Cash from Operating Activity,1195,1333,1400,1765,2574,3282,
Cash from Investing Activity,-329,-79,-129,-246,-513,-469,
Cash from Financing Activity,-869,-1244,-1264,-1527,-2068,-2694,
Net Cash Flow,-3,10,6,-8,-8,119,
Free Cash Flow,1171,1310,1359,1710,2162,3167,
CFO/OP,90,91,92,85,95,97,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,
Debtor Days,11,14,14,19,17,11,
Cash Conversion Cycle,11,14,14,19,17,11,
Working Capital Days,-8,-10,-9,-22,-27,-26,
ROCE %,—,97,89,102,111,115,
