Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,14.6%,18.56%,44.17%
,ebitda margin growth,79.79%,-1.4%,0.23%,-3.52%
,net income growth,65.42%,4.78%,18%,13%
,revenue growth,46.99%,3.71%,15%,11%
,roce,84.6%,-5.24%,-0.2%,32.73%
,roe,65.41%,-3.36%,24.58%,-21.22%
