Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,29263,30042,31072,31143,31902,32570,32820,32866,33318,33600,34514,35115
Expenses,12216,10556,12269,10879,12755,10654,12712,12928,11548,12390,13155,12130
Financing Profit,-480,1484,494,1682,-119,1772,-165,-368,1579,624,582,1684
Financing Margin %,-2,5,2,5,0,5,0,-1,5,2,2,5
Other Income,6503,5042,6538,4658,7553,5163,7076,5538,5116,6399,5474,522
Interest,17528,18002,18309,18582,19266,20143,20273,20307,20191,20586,20776,21301
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,6023,6526,7033,6340,7434,6935,6911,5170,6695,7024,6057,2206
Tax %,28,27,29,28,27,26,23,35,24,23,7,29
Net Profit,4426,4815,5160,4764,5405,5250,5447,3517,5181,5501,5872,1839
EPS in Rs,8.5,9.26,9.92,9.14,10.36,10.08,10.48,6.71,9.93,10.53,11.22,3.45
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,46056,52906,78895,74314,73385,94139,118379,127945,134298,136546,,
Expenses,26093,25815,40583,38636,37518,38239,44387,45533,48058,49223,,
Financing Profit,-9197,-5414,-11728,-7523,-2948,5957,4093,4147,4381,4469,,
Financing Margin %,-20,-10,-15,-10,-4,6,3,3,3,3,,
Other Income,7992,7887,12191,15254,14395,16639,23399,24939,22527,17511,,
Interest,29160,32506,50040,43201,38815,49942,69899,78265,81860,82855,,
Depreciation,901,948,1697,1357,1438,2032,1694,1467,1963,0,,
Profit before tax,-2106,1525,-1234,6373,10008,20565,25799,27619,24945,21981,,
Tax %,-9,29,-176,77,23,29,29,26,22,—,,
Net Profit,-1836,1166,981,1620,7933,15005,18869,20865,20070,18392,,
EPS in Rs,-7.13,4.16,2.01,2.99,15.18,28.82,36.29,40.06,38.38,35.13,,
Dividend Payout %,0,0,0,0,19,19,21,21,22,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,462,530,530,925,1036,1036,1036,1036,1036,1036,,
Reserves,42605,46036,54466,75179,81354,90833,104019,118677,145467,164833,,
Borrowing,31242,64860,68868,95753,71263,109526,107910,101959,135813,170297,,
Deposits,617257,607451,665589,973228,995910,1075804,1234682,1359980,1496688,1675895,,
Other Liabilities,27649,28919,30217,54850,53104,62922,78224,73123,82762,89425,,
Total Liabilities,719216,747796,819670,1199935,1202667,1340121,1525871,1654775,1861766,2101485,,
Fixed Assets,5930,5532,7368,9268,8438,11098,9865,9054,13544,13107,,
CWIP,0,0,0,0,2,1,3,6,1,1,,
Investments,140716,175137,195716,289727,281859,347587,397487,407136,427380,435778,,
Other Assets,572570,567126,616586,900941,912367,981435,1118516,1238580,1420842,1652599,,
Total Assets,719216,747796,819670,1199935,1202667,1340121,1525871,1654775,1861766,2101485,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,17865,-59692,-1449,18531,-887,6210,-21271,-6274,34892,33426,,
Cash from Investing Activity,-551,-414,-2537,-139,-471,-3645,-1096,-1285,-6494,-3275,,
Cash from Financing Activity,-198,3413,4449,14729,-986,-998,-5488,5476,3790,-1806,,
Net Cash Flow,17116,-56692,462,33120,-2344,1567,-27855,-2084,32188,28345,,
Free Cash Flow,17314,-60105,-3986,18393,-1146,2805,-22057,-7153,28979,31911,,
CFO/OP,66,-304,11,49,12,20,-28,3,54,44,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,4,-4,2,1,2,9,15,17,16,13,,
