Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,64.25%,64.25%,64.25%,64.25%,63.94%,63.94%,63.94%,58.49%
FIIs,3.08%,2.31%,2.96%,4.38%,4.23%,4.48%,5.72%,7.92%
DIIs,6.71%,7.96%,8.66%,11.1%,13.26%,12.71%,13.7%,17.97%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,10.66%,9.66%,5.85%,5.76%,6.14%,6.98%,5.7%,4.94%
Others,15.29%,15.83%,18.28%,14.52%,12.44%,11.89%,10.95%,10.68%
No. of Shareholders,415978,374313,388511,381623,376130,371229,364141,338684
