Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,55682,55312,58687,54771,53905,53648,56218,53178,58689,57002,63270,60794
Expenses,51414,49048,52087,48077,47789,47745,49659,45751,49793,48803,53441,51530
Operating Profit,4268,6264,6601,6694,6116,5903,6559,7428,8897,8200,9829,9264
OPM %,8,11,11,12,11,11,12,14,15,14,16,15
Other Income,-6568,-33,-382,-6,617,142,149,236,-6,465,42,-17
Interest,1959,1881,1842,1777,1971,1804,1789,1852,1775,1747,1792,1771
Depreciation,2480,2422,2568,2535,2597,2569,2720,2744,2893,3049,3268,3640
Profit before tax,-6739,1928,1809,2377,2164,1672,2200,3067,4222,3869,4810,3838
Tax %,-3,73,69,61,65,82,45,35,25,29,38,38
Net Profit,-6511,522,555,919,759,295,1201,2007,3183,2730,2965,2385
EPS in Rs,-5.07,0.42,0.49,0.77,0.67,0.26,1.04,1.66,2.48,2.15,2.34,1.86
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,123249,157669,139817,156477,243959,243353,229171,218543,232140,239756,,
Expenses,101816,128351,122354,125973,180469,211053,206923,193244,197788,203567,,
Operating Profit,21433,29318,17463,30504,63490,32300,22248,25298,34352,36189,,
OPM %,17,19,12,19,26,13,10,12,15,15,,
Other Income,10898,1524,-2884,180,1300,1569,-6005,877,738,485,,
Interest,5455,7660,7533,7607,5462,6299,7508,7341,7167,7085,,
Depreciation,5742,7342,8441,9234,9101,9335,9882,10421,11955,12850,,
Profit before tax,21135,15841,-1395,13844,50227,18235,-1147,8413,15969,16739,,
Tax %,16,42,-184,41,17,56,328,62,32,—,,
Net Profit,17743,9122,1174,8190,41749,8075,-4910,3174,10886,11264,,
EPS in Rs,11.93,9.07,1.38,6.26,32.88,7.17,-3.55,2.74,8.65,8.83,,
Dividend Payout %,9,15,74,40,16,50,-101,131,46,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,970,1145,1145,1145,1198,1221,1221,1247,1247,1247,,
Reserves,36849,59726,67780,72431,73041,113222,101861,90788,89922,100920,,
Borrowings,83014,92147,100816,116328,88501,75561,84893,87082,94801,92382,,
Other Liabilities,51614,55704,63032,59245,81169,92417,97421,90195,89488,101965,,
Total Liabilities,172447,208722,232773,249149,243909,282422,285396,269312,275459,296515,,
Fixed Assets,92007,96105,124442,134551,135775,133288,146621,148814,150914,179908,,
CWIP,15784,16614,18641,19497,19007,22046,31213,34356,41622,28497,,
Investments,12457,17899,5738,6285,10682,13140,8410,6258,6194,7089,,
Other Assets,52200,78103,83952,88816,78445,113948,99151,79885,76728,81021,,
Total Assets,172447,208722,232773,249149,243909,282422,285396,269312,275459,296515,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,10824,8023,25336,20169,44327,44381,21683,20301,23138,35064,,
Cash from Investing Activity,-9490,-11730,-29176,-14012,-9437,-10905,-18179,-14253,-13611,-14397,,
Cash from Financing Activity,-2579,6640,-673,-1695,-37090,-23401,-6981,-11097,-7002,-21387,,
Net Cash Flow,-1245,2933,-4513,4462,-2200,10075,-3477,-5049,2524,-720,,
Free Cash Flow,3397,724,16712,10156,37793,34428,7868,2569,8731,21906,,
CFO/OP,96,51,104,128,148,89,84,115,103,115,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,38,37,27,21,22,18,12,10,9,8,,
Inventory Days,230,224,190,197,215,213,175,176,171,184,,
Days Payable,172,161,130,136,167,161,122,108,113,136,,
Cash Conversion Cycle,96,99,87,82,69,71,66,78,67,56,,
Working Capital Days,-32,-31,-18,-38,-55,-34,-42,-59,-50,-56,,
ROCE %,6,12,14,6,12,31,13,7,9,13,,
