Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-34%,-26.48%,143%
,ebitda margin growth,7.89%,1.82%,18.15%,11%
,net income growth,7.89%,4.76%,11%,18%
,revenue growth,12.7%,6.29%,4%,13%
,roce,—,-2.05%,33.85%,57.37%
,roe,—,-1.91%,46.1%,3.15%
