Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,1.28%,-3.73%,303.06%
,ebitda margin growth,3.73%,2.43%,12.76%,83.11%
,net income growth,7.75%,1.44%,38%,40%
,revenue growth,-17.89%,-1.08%,15%,22%
,roce,4.2%,-19.74%,-22.52%,29.15%
,roe,7.74%,-18.48%,24.2%,48.28%
