Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3459,3556,3597,3517,3698,3759,3948,3914,4023,4068,4163,4587
Expenses,2802,2994,3076,2940,3163,3397,3455,3403,3582,3597,3742,4293
Operating Profit,657,562,521,576,535,362,493,511,441,471,421,294
OPM %,19,16,14,16,14,10,12,13,11,12,10,6
Other Income,152,140,161,157,174,170,202,164,178,167,166,159
Interest,2,2,3,2,2,2,4,3,3,2,8,3
Depreciation,102,102,111,114,119,122,121,124,128,132,133,137
Profit before tax,704,599,569,617,588,408,570,548,488,503,447,312
Tax %,22,21,24,22,23,20,20,22,21,22,24,24
Net Profit,553,475,433,480,454,325,453,428,385,392,339,238
EPS in Rs,3.95,3.4,3.1,3.44,3.25,2.33,3.25,3.06,2.76,2.81,2.43,1.72
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4535,5765,6485,4941,7710,14133,14000,14913,16168,16840,,
Expenses,3409,4506,4949,3446,5816,12089,11612,12934,14291,15213,,
Operating Profit,1126,1259,1536,1495,1894,2044,2388,1979,1876,1627,,
OPM %,25,22,24,30,25,14,17,13,12,10,,
Other Income,153,213,293,240,401,469,596,706,661,669,,
Interest,2,2,20,22,25,27,28,26,35,16,,
Depreciation,181,201,252,290,317,363,414,476,518,531,,
Profit before tax,1096,1269,1556,1422,1953,2122,2542,2183,1985,1749,,
Tax %,34,34,20,18,23,23,22,22,22,—,,
Net Profit,722,842,1249,1173,1502,1640,1983,1713,1544,1354,,
EPS in Rs,5.16,6.02,8.92,8.38,10.73,11.71,14.18,12.27,11.07,9.72,,
Dividend Payout %,19,20,16,21,26,56,32,57,43,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,140,140,140,140,140,140,140,140,280,280,,
Reserves,2872,3507,4176,5218,6194,7446,7791,9493,10336,11224,,
Borrowings,0,0,0,96,113,108,83,81,93,98,,
Other Liabilities,1186,1453,1871,2094,2606,3413,4614,4510,4880,5432,,
Total Liabilities,4198,5100,6187,7548,9054,11107,12628,14225,15590,17035,,
Fixed Assets,2117,2432,2877,3557,4321,5002,5734,6603,7192,8053,,
CWIP,352,386,478,777,847,1379,1434,1396,1543,1534,,
Investments,784,1316,1778,630,2288,2626,1522,2222,2926,3175,,
Other Assets,945,966,1054,2584,1598,2101,3939,4003,3929,4273,,
Total Assets,4198,5100,6187,7548,9054,11107,12628,14225,15590,17035,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,946,879,1157,1361,1546,1898,2231,1532,2184,1936,,
Cash from Investing Activity,-1114,-717,-1121,-521,-1826,-1585,-841,-1103,-1504,-1211,,
Cash from Financing Activity,-160,-84,-169,-243,-297,-328,-1359,-316,-754,-699,,
Net Cash Flow,-328,78,-133,597,-577,-15,31,113,-74,25,,
Free Cash Flow,675,409,476,398,663,561,1109,303,1019,588,,
CFO/OP,126,107,121,111,123,120,133,85,130,124,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,19,18,14,10,19,25,23,27,17,21,,
Inventory Days,10,8,6,5,8,4,2,2,2,2,,
Days Payable,48,50,35,22,69,65,32,37,31,32,,
Cash Conversion Cycle,-19,-23,-15,-7,-41,-37,-6,-8,-12,-9,,
Working Capital Days,-62,-67,-75,-83,-144,-115,-79,-72,-80,-80,,
ROCE %,32,32,30,31,24,27,27,28,21,18,,
