Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,171.21%,-29.04%,47.56%
,ebitda margin growth,-36.64%,16.19%,14.59%,46.62%
,net income growth,-41.87%,60.33%,68%,112%
,revenue growth,-10.91%,9.85%,25%,30%
,roce,-41.08%,8.92%,13.56%,30.78%
,roe,-41.85%,22.53%,21.18%,307.69%
