Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,19.5%,-74.17%,132.14%
,ebitda margin growth,-98.76%,-42.66%,-36.6%,3.31%
,net income growth,-115.02%,-51.66%,-3%,15%
,revenue growth,-54.48%,8.26%,4%,4%
,roce,-107.66%,-48.34%,-50%,9.2%
,roe,-115.02%,-52.42%,8.5%,-11.72%
