Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-28.88%,83.97%,-31.15%
,ebitda margin growth,9.36%,-1.27%,-0.68%,9.82%
,net income growth,6.4%,18.03%,12%,17%
,revenue growth,3.84%,17.48%,13%,11%
,roce,—,-7.39%,-4.69%,5.84%
,roe,—,5.73%,12.17%,8.75%
