Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,344.3%,146.27%,196.98%
,ebitda margin growth,18.41%,9.19%,-6.82%,12.79%
,net income growth,5.09%,47.74%,19%,17%
,revenue growth,18.81%,35.18%,29%,20%
,roce,18.37%,31.63%,2.6%,9.93%
,roe,5.09%,30.26%,10.9%,48.5%
