Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,47.62%,13.8%,23.53%
,ebitda margin growth,-27.17%,-18.27%,-24.1%,-25.75%
,net income growth,-29.84%,6.93%,-9%,-1%
,revenue growth,-29.6%,3.94%,-3%,5%
,roce,-29.61%,-15.6%,-24.7%,23.34%
,roe,-29.83%,-15.33%,18.2%,-13.96%
