Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,346.8%,-55.77%,—
,ebitda margin growth,465.01%,-1.25%,-45.72%,—
,net income growth,—,-54.51%,100%,70%
,revenue growth,333.12%,-42.46%,89%,58%
,roce,496.58%,-51.24%,-66.43%,—
,roe,—,-54.62%,27.76%,—
