Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,7.61%,-13.55%,17.91%
,ebitda margin growth,-18.59%,17.71%,11.73%,-2.61%
,net income growth,-51.27%,65.67%,-1%,-2%
,revenue growth,-6.08%,5.57%,3%,8%
,roce,-29.77%,43.62%,11.5%,6.45%
,roe,-51.27%,60.15%,5.18%,23.12%
