Item,Date,Document
,2026-09-08,[Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=42e72585-5058-4d9f-9d6e-9b17f949eae0.pdf)
,2026-09-03,[POWERGRID Declared As Successful Bidder Under TBCB](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=37b697ac-30c9-44d3-8581-0e8eb5d2142d.pdf)
,2026-09-02,[POWERGRID Declared As Successful Bidder Under TBCB](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1465250f-e58a-4d3b-9a26-74bbe320a7d1.pdf)
,2026-08-31,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2b1df451-9982-43cd-aade-f52ca289f5e0.pdf)
,2026-08-28,[Announcement under Regulation 30 (LODR)-Acquisition](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ce763dd-1488-4608-b34f-dd44660caa30.pdf)
,2026-08-26,[Disclosure Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1e01cefd-4da5-484b-9c8d-a45f5a94d2c6.pdf)
,2026-08-21,[POWERGRID Declared As Successful Bidder Under TBCB](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6b000a79-c9db-4cfd-80d3-9edea86e1bdc.pdf)
,2026-08-21,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b0c099a8-9fe5-4933-9d77-110c73c7848c.pdf)
,2026-08-20,[Board Meeting Outcome for Outcome Of The Board Meeting Held On 20Th August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ff3b27cf-bf0f-4328-a5b4-bd5781d8ac21.pdf)
,2026-08-20,[Announcement under Regulation 30 (LODR)-Change in Directorate](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4d32af2c-23e4-43a3-b67e-950d3060ee51.pdf)
,Date,Document
,---,---
,2026-08-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f17cbb9f-819b-4b15-b647-b97c1adc2d32.pdf)
,2026-05-25,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4fe8a91b-00ea-4603-96d7-ff9e6c48add9.pdf)
,2026-04-01,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=31b888a3-6061-40e7-aae7-2e0cd1588361.pdf)
,2026-02-09,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5a617224-9433-457b-81bd-a52fe07a67c0.pdf)
,2025-11-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2d066e43-eee0-4372-9ff4-1a042aab56b5.pdf)
,Date,Document
,---,---
,2026-08-07,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=188c1f55-7aa7-4ca5-9677-0214d1cb674a.pdf)
,2026-05-18,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=139ed5ad-da21-4cee-8495-64c26452c2d7.pdf)
,2026-03-23,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0e04edce-f337-40fc-ac9e-e2aaf326003c.pdf)
,2026-02-02,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b848cba-54d1-4263-8c7f-542a667a9880.pdf)
,Date,Document
,---,---
,2026-08-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f25395f3-4bf4-4770-b47c-1a89a781837c.pdf)
,2026-05-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9ed2703b-2d52-4792-ade3-7aa68acdb4e5.pdf)
,2026-03-23,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d030c905-aafa-4048-9462-b62cbfff53d9.pdf)
,2026-02-02,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5b6f406-910d-4bb7-b4df-b49b438deb9c.pdf)
,2025-11-05,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=63ee3f93-fcc4-43c6-b176-91e1e16f16cc.pdf)
,Date,Document
,---,---
,2026-08-05,[Unaudited Financial Results For The First Quarter Ended 30Th June 2026 (FY 2026-27)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93b9a892-ce23-40a2-9bd1-099aa4a080e3.pdf)
,2026-05-15,[Approval Of Audited Financial Results For Financial Year Ended 31St March 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4ad12b83-c9c7-4391-b3e6-c5126683ab55.pdf)
,2026-01-30,[Unaudited Financial Results For 3Rd Quarter And Nine Months Ended 31St December 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6187de58-039b-4559-ab07-8f9760ebbb94.pdf)
,Date,Document
,---,---
,9h - Newspaper publication regarding Special Window for Transfer and Dematerialisation of Physical Securities,[Announcement under Regulation 30 (LODR)-Newspaper Publication 9h - Newspaper publication regarding Special Window for Transfer and Dematerialisation of Physical Securities](https://www.bseindia.com/xml-data/corpfiling/AttachLive/101d3b6b-5c1e-4c0a-82f1-a1393659f27f.pdf)
,"9 Mar - Board approved up to Rs5,000 crore loan, ₹233.96 crore OT SOC capex, CTUIL divestment in-principle, Uganda transmission alliance.","[Board Meeting Outcome for Outcome Of Board Meeting Of POWERGRID Held On 09Th March, 2026. 9 Mar - Board approved up to Rs5,000 crore loan, ₹233.96 crore OT SOC capex, CTUIL divestment in-principle, Uganda transmission alliance.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/d25b7c25-c150-40be-a4b8-907f7ab8999a.pdf)"
,8h - Two Executive Directors Ashwani Kumar Gupta and Jasbir Singh ceased on 31 March 2026 due to superannuation.,[Announcement under Regulation 30 (LODR)-Change in Management 8h - Two Executive Directors Ashwani Kumar Gupta and Jasbir Singh ceased on 31 March 2026 due to superannuation.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/c3008902-803c-4015-ade8-5aaa33388d0e.pdf)
,8h - Schedule of Webinar for Analysts and Investors,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 8h - Schedule of Webinar for Analysts and Investors](https://www.bseindia.com/xml-data/corpfiling/AttachLive/bb7ee6cd-98c1-436c-9042-c77c612af439.pdf)
,"8h - Commissioned transmission system for Arun-3 900MW HEP (Indian portion), effective 03.09.2023 per CERC order 10.03.2026.","[POWERGRID Has Successfully Commissioned The Project 8h - Commissioned transmission system for Arun-3 900MW HEP (Indian portion), effective 03.09.2023 per CERC order 10.03.2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/7faa54a9-7670-4e2d-9dd8-4d842e6e0b6c.pdf)"
,8 May - POWERGRID board meeting rescheduled to 15 May 2026 for FY26 audited results and final dividend.,[Update on board meeting 8 May - POWERGRID board meeting rescheduled to 15 May 2026 for FY26 audited results and final dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/a1a5cbb6-9888-440b-b154-edef928f0348.pdf)
,8 May - Board meeting rescheduled to 15 May 2026 to approve FY2025-26 audited results and consider final dividend.,[Closure of Trading Window 8 May - Board meeting rescheduled to 15 May 2026 to approve FY2025-26 audited results and consider final dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/554802bc-c565-432d-aaa6-7a28c40a7326.pdf)
,6 May - Board meets 16 May 2026 to approve FY26 audited results and consider final dividend.,"[Board Meeting Intimation for Board Meeting Of POWERGRID To Consider And Approve The Audited Financial Results For Financial Year Ended 31St March, 2026 And Recommendation Of Final Dividend, If Any, For The FY 2025-26. 6 May - Board meets 16 May 2026 to approve FY26 audited results and consider final dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/b21d9353-db8b-4ec3-b8db-217782f14e7c.pdf)"
,"6 Apr - Compliance under Regulation 74(5) of SEBI (D&P) Regulations, 2018 for the quarter ended 31st March, 2026.","[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018 6 Apr - Compliance under Regulation 74(5) of SEBI (D&P) Regulations, 2018 for the quarter ended 31st March, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/48a63e23-6654-48c6-b366-4cebc7b9a5ef.pdf)"
,6 Apr - CMD Shri Burra Vamsi Rama Mohan gets additional charge as Director (Projects) for 3 months from 1 April 2026.,[Announcement under Regulation 30 (LODR)-Change in Directorate 6 Apr - CMD Shri Burra Vamsi Rama Mohan gets additional charge as Director (Projects) for 3 months from 1 April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/7ffb763f-c316-45fe-a6a6-54db488b2725.pdf)
,Date,Document
,---,---
