Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,28.38%,16.1%,115.73%
,ebitda margin growth,20.28%,-7.57%,-12.58%,-15.06%
,net income growth,25.73%,-13.12%,-8%,3%
,revenue growth,15.32%,-1.6%,1%,13%
,roce,25.55%,-22.04%,-27.52%,29.4%
,roe,25.88%,-22.34%,17.82%,-51.23%
