Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,11.77%,—,—
,ebitda margin growth,-22.38%,-7.41%,—,—
,net income growth,-24.38%,-10.23%,1%,23%
,revenue growth,-12.52%,8%,7%,19%
,roce,-26.28%,-4.73%,—,—
,roe,-24.41%,-10.78%,—,—
