Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,34.79%,-64.1%,-43.7%
,ebitda margin growth,2.78%,180.62%,-16.88%,0.56%
,net income growth,708.29%,—,-10%,36%
,revenue growth,61.72%,-6.3%,-7%,23%
,roce,3.11%,280.51%,-32.74%,18.97%
,roe,708.34%,—,13.69%,-66.95%
