Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1224,1195,1440,1195,1224,1415,1720,1570,1653,1778,1812,2026
Expenses,1037,1014,1198,1024,1045,1130,1300,1187,1250,1298,1299,1388
Operating Profit,188,181,241,171,178,285,421,382,403,480,512,638
OPM %,15,15,17,14,15,20,24,24,24,27,28,32
Other Income,2,2,19,3,5,9,59,10,27,6,12,9
Interest,42,51,50,49,53,58,56,52,40,39,40,42
Depreciation,93,98,102,106,108,106,110,117,120,121,122,124
Profit before tax,54,35,107,18,23,131,312,224,270,327,361,481
Tax %,27,27,30,34,22,31,25,28,28,22,22,25
Net Profit,37,23,75,13,20,93,233,162,194,252,282,362
EPS in Rs,0.69,0.43,1.4,0.23,0.37,1.71,4.33,3.02,3.61,4.66,5.17,6.8
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2056,2292,2832,4814,4936,6041,5041,5554,6813,7270,,
Expenses,1642,1935,2266,3262,3512,4448,4261,4499,5028,5236,,
Operating Profit,414,357,565,1552,1424,1592,779,1055,1785,2034,,
OPM %,20,16,20,32,29,26,15,19,26,28,,
Other Income,29,15,5,23,14,6,24,75,47,54,,
Interest,80,88,90,68,102,165,183,216,171,161,,
Depreciation,125,164,187,205,251,324,385,430,480,487,,
Profit before tax,237,120,294,1301,1084,1109,236,484,1182,1439,,
Tax %,29,22,13,24,23,28,29,27,25,—,,
Net Profit,168,94,255,984,832,793,162,358,890,1091,,
EPS in Rs,3.16,1.76,4.77,18.33,15.4,14.67,2.98,6.64,16.46,20.24,,
Dividend Payout %,9,17,10,11,13,14,27,18,12,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,106,106,106,107,107,107,108,108,108,108,,
Reserves,1225,1377,1452,1663,2490,3244,3930,4003,4365,5192,,
Borrowings,842,980,1036,1079,1482,1777,2015,2577,2764,2518,,
Other Liabilities,481,554,737,901,1671,1840,1608,1699,2099,2693,,
Total Liabilities,2653,3017,3331,3750,5751,6968,7660,8387,9336,10511,,
Fixed Assets,1230,1481,1629,1726,2171,2652,3409,3890,4123,4371,,
CWIP,143,163,110,67,362,813,551,423,458,773,,
Investments,3,3,3,3,3,31,50,124,233,309,,
Other Assets,1277,1369,1589,1953,3214,3472,3651,3950,4521,5058,,
Total Assets,2653,3017,3331,3750,5751,6968,7660,8387,9336,10511,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,332,342,298,347,733,911,994,666,602,1624,,
Cash from Investing Activity,-289,-384,-253,-221,-941,-914,-997,-822,-680,-1086,,
Cash from Financing Activity,-54,42,-45,-128,255,30,-27,250,39,-525,,
Net Cash Flow,-10,1,0,-1,47,27,-30,93,-39,13,,
Free Cash Flow,55,-49,44,125,49,34,6,-10,61,560,,
CFO/OP,94,98,91,68,62,77,80,99,70,107,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,109,101,113,102,99,100,96,120,132,115,,
Inventory Days,186,201,201,234,266,293,222,277,285,317,,
Days Payable,96,107,144,159,199,146,94,158,141,170,,
Cash Conversion Cycle,199,195,170,177,166,247,224,240,276,263,,
Working Capital Days,3,-11,6,15,43,43,59,42,43,58,,
ROCE %,16,14,8,14,40,26,23,7,9,18,,
