Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,16.13%,191.75%,27.97%
,ebitda margin growth,-0.46%,0.94%,5.31%,20.26%
,net income growth,4.15%,-0.46%,76%,48%
,revenue growth,2.92%,6.41%,15%,10%
,roce,1.13%,-1.87%,1.35%,4.68%
,roe,4.15%,-11.61%,11.46%,207.27%
