Item,Jun 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,100%,82.39%,82.39%,67.38%,67.38%,50.95%,50.95%,50.95%
FIIs,0%,3.78%,3.39%,5.99%,5.59%,10.25%,10.02%,9.99%
DIIs,0%,7.25%,7.48%,14.06%,14.88%,21.36%,22.29%,21.42%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,0%,5.29%,5.52%,9.4%,9.84%,14.03%,13.64%,14.53%
Others,0%,1.29%,1.22%,3.18%,2.32%,3.41%,3.1%,3.11%
No. of Shareholders,7,297400,320185,401291,461015,506344,524120,538679
