Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,123.03%,108.72%,111.23%
,ebitda margin growth,6.81%,-6.72%,-14.19%,-0.2%
,net income growth,9.04%,13.06%,-1%,17%
,revenue growth,0.35%,11.11%,13%,16%
,roce,—,-8.59%,-20.87%,20.92%
,roe,—,-0.93%,15.87%,-33.91%
