Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,18.58%,-98.91%,-66.47%
,ebitda margin growth,3.18%,-0.51%,15.79%,—
,net income growth,12.41%,-11.58%,9%,45%
,revenue growth,2.96%,15.01%,14%,11%
,roce,3.02%,-0.53%,0.97%,—
,roe,12.41%,-23.23%,16.26%,—
