Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-23.66%,11.35%,772.88%
,ebitda margin growth,-8.23%,19.53%,30.46%,297.21%
,net income growth,5.06%,19.12%,23%,54%
,revenue growth,-0.72%,-1.14%,16%,59%
,roce,-10.81%,-1.14%,17.05%,32.08%
,roe,5.02%,-12.88%,33.31%,—
