Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,53.6%,45.86%,—
,ebitda margin growth,2.9%,3.85%,-0.82%,—
,net income growth,3.07%,22.52%,11%,33%
,revenue growth,6.44%,17.76%,11%,20%
,roce,3.35%,8.04%,2.47%,—
,roe,3.07%,8.07%,18.44%,—
