Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,565.52%,41.33%,268.81%
,ebitda margin growth,29.57%,-8.49%,-10.22%,1.83%
,net income growth,15.9%,21.06%,23%,46%
,revenue growth,28.86%,7.15%,15%,25%
,roce,29.41%,-38.72%,-52.35%,30.17%
,roe,15.86%,-47.12%,25.82%,-26.32%
