Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,42.82%,-9.06%,19.68%
,ebitda margin growth,-2.82%,-5.93%,-4.23%,6.13%
,net income growth,-5.53%,0.33%,127%,54%
,revenue growth,0.33%,4.44%,2%,9%
,roce,-4.43%,-12.01%,-24.14%,14.73%
,roe,-5.51%,-11.55%,12.27%,44.75%
