Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,82.74%,—,227.95%
,ebitda margin growth,10.71%,-20.42%,22.38%,-3.42%
,net income growth,19.89%,-14.86%,22%,8%
,revenue growth,-6.98%,17.58%,9%,15%
,roce,14.97%,-22.49%,56.03%,16.93%
,roe,19.9%,-23.18%,7.96%,-6.88%
