Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-49.85%,118.99%,66.78%
,ebitda margin growth,-68.22%,7.52%,8.72%,33.64%
,net income growth,-91.08%,14.94%,7%,18%
,revenue growth,-31.95%,3.76%,10%,18%
,roce,-79.47%,-1.73%,-12.77%,14.97%
,roe,-91.08%,1.81%,13.36%,44.41%
