Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,82.93%,-8.35%,-12.64%
,ebitda margin growth,-12.77%,0.99%,-3.31%,-13.94%
,net income growth,-18.67%,8.32%,17%,3%
,revenue growth,-16.69%,12.53%,16%,16%
,roce,-12.89%,-12.61%,-10.51%,16.73%
,roe,-18.67%,-2.74%,15.14%,38.18%
