Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-27.94%,-57.92%,-22.83%
,ebitda margin growth,139.97%,-1.25%,-28.67%,-28.42%
,net income growth,102.84%,-584.46%,-51%,3%
,revenue growth,22.65%,-1.4%,-5%,7%
,roce,-114.11%,-178.43%,-160.72%,4.59%
,roe,-102.84%,-592.36%,-1.41%,-205.75%
