Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,14.53%,16.72%,129.52%
,ebitda margin growth,10.12%,-10.97%,-13.46%,1.67%
,net income growth,11.09%,15.13%,19%,81%
,revenue growth,10.9%,19.56%,18%,25%
,roce,12.13%,-12.4%,-20.87%,15.87%
,roe,11.01%,-2.11%,14.86%,14.58%
