Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,22.38%,45.52%,81.76%
,ebitda margin growth,1.74%,-1.84%,1.21%,-1.51%
,net income growth,1.36%,1.57%,16%,15%
,revenue growth,0.83%,6.26%,15%,16%
,roce,4.13%,-10.7%,3.15%,45.63%
,roe,1.32%,-13.94%,38.53%,-19.34%
