Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-13.4%,6.75%,8.24%
,ebitda margin growth,2.61%,-3.73%,-5%,-2.93%
,net income growth,2.05%,-3.67%,2%,17%
,revenue growth,-4.54%,1.17%,4%,7%
,roce,4.65%,-8.3%,-8.97%,13.1%
,roe,2.05%,-7.83%,10.16%,-1.55%
