Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-49.11%,-34.48%,—
,ebitda margin growth,-15.94%,10.29%,12.43%,50.08%
,net income growth,-23.47%,19.7%,7%,19%
,revenue growth,-8.71%,5.95%,-3%,9%
,roce,-16.53%,1.12%,-11.3%,20.49%
,roe,-23.48%,3.34%,16.04%,21.37%
