Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3177,3053,3570,3464,3424,3491,4313,3819,3640,3713,4615,5033
Expenses,2551,2487,2874,2861,2886,2872,3356,2989,2866,2933,3589,3797
Operating Profit,626,566,696,603,538,620,957,830,774,780,1026,1237
OPM %,20,19,19,17,16,18,22,22,21,21,22,25
Other Income,29,19,23,25,33,40,34,29,26,-46,13,34
Interest,79,67,90,97,94,96,89,80,71,66,62,69
Depreciation,161,169,186,188,194,194,195,203,212,217,220,223
Profit before tax,415,348,443,344,284,369,707,576,517,452,757,979
Tax %,27,27,5,27,29,26,26,25,25,4,23,22
Net Profit,301,253,422,252,201,271,526,432,388,433,582,759
EPS in Rs,10.15,8.55,14.24,8.51,6.79,9.14,17.75,14.58,13.1,14.6,19.63,25.6
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,5589,7100,7209,8400,12434,14870,13139,14693,15787,17001,,
Expenses,4683,5803,5754,6267,9330,11341,10554,11975,12377,13185,,
Operating Profit,906,1297,1455,2133,3103,3529,2584,2718,3410,3817,,
OPM %,16,18,20,25,25,24,20,18,22,22,,
Other Income,115,78,152,66,116,75,83,133,22,27,,
Interest,124,198,201,134,116,205,302,376,278,267,,
Depreciation,316,358,389,453,517,575,673,772,852,872,,
Profit before tax,582,818,1018,1612,2586,2824,1692,1704,2302,2705,,
Tax %,21,22,0,26,27,23,21,27,20,—,,
Net Profit,462,642,1019,1198,1889,2162,1336,1251,1835,2162,,
EPS in Rs,16.08,22.33,35.46,40.44,63.72,72.95,45.06,42.2,61.91,72.93,,
Dividend Payout %,15,11,8,12,26,10,16,17,15,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,58,58,58,58,60,297,297,297,297,297,,
Reserves,3124,3506,4071,4875,6796,8268,10030,11182,12329,13745,,
Borrowings,2396,3142,3730,4135,3469,3655,4478,5031,4726,5083,,
Other Liabilities,1389,1657,2028,1795,2586,3544,3931,3945,4169,4971,,
Total Liabilities,6968,8363,9888,10862,12911,15765,18736,20454,21521,24097,,
Fixed Assets,4405,5122,5609,6368,7827,8425,10050,13242,13720,13926,,
CWIP,259,559,754,1393,772,1672,2406,805,811,1889,,
Investments,196,122,101,203,417,321,494,527,827,687,,
Other Assets,2109,2561,3424,2899,3895,5347,5786,5881,6163,7594,,
Total Assets,6968,8363,9888,10862,12911,15765,18736,20454,21521,24097,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,645,678,896,1304,1772,2106,2902,2094,2487,2554,,
Cash from Investing Activity,-613,-1174,-1039,-1179,-1499,-1586,-2964,-2231,-1482,-1589,,
Cash from Financing Activity,-284,495,246,-199,-251,-207,220,-72,-1071,-708,,
Net Cash Flow,-252,-1,103,-73,22,312,158,-209,-65,256,,
Free Cash Flow,5,-605,-157,-69,567,289,50,-108,1265,747,,
CFO/OP,79,88,81,99,95,81,97,96,104,90,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,50,44,53,45,55,53,44,54,54,59,,
Inventory Days,126,115,113,119,133,129,112,127,111,131,,
Days Payable,122,126,127,110,144,126,110,120,111,121,,
Cash Conversion Cycle,54,34,38,54,45,55,46,61,55,69,,
Working Capital Days,-15,-21,-17,-37,-14,1,-6,-18,-9,-12,,
ROCE %,14,11,14,14,18,24,22,13,12,15,,
