Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,3.22%,-19.5%,-9.03%
,ebitda margin growth,-49.94%,6.17%,5.41%,-14.1%
,net income growth,-59.95%,14.9%,16%,11%
,revenue growth,-6.31%,4.26%,10%,17%
,roce,-56.9%,-1.78%,2.79%,22.09%
,roe,-59.95%,1.19%,17.51%,-10.49%
