Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,89.58%,57.4%,—
,ebitda margin growth,31.78%,-1.09%,-3.71%,-4.31%
,net income growth,62.11%,7.42%,2%,1%
,revenue growth,17.23%,4.3%,6%,12%
,roce,43.15%,3.73%,-9.56%,9.36%
,roe,62.09%,7.49%,6.25%,-5.66%
