Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2573,2421,2933,2636,2269,2409,3042,2873,2458,2701,3307,3129
Expenses,2243,2011,2443,2293,2050,2151,2491,2354,2091,2318,2719,2560
Operating Profit,330,410,491,343,219,258,552,519,367,384,588,568
OPM %,13,17,17,13,10,11,18,18,15,14,18,18
Other Income,6,11,7,5,10,0,4,15,4,3,-46,4
Interest,140,133,125,127,132,126,113,117,102,99,81,70
Depreciation,226,231,218,216,215,217,220,215,218,223,228,226
Profit before tax,-30,57,155,5,-118,-85,224,202,51,65,233,276
Tax %,-105,45,35,44,-28,-28,26,34,29,24,40,42
Net Profit,2,31,100,3,-85,-61,166,133,36,49,141,160
EPS in Rs,0.04,0.87,2.81,0.08,-2.38,-1.72,4.63,3.73,1.02,1.37,3.94,4.47
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,6094,7052,6793,7489,9318,10586,10733,10357,11338,11594,,
Expenses,5105,6134,5493,6028,7814,9375,9109,8984,9481,9688,,
Operating Profit,989,918,1301,1460,1504,1211,1624,1373,1857,1907,,
OPM %,16,13,19,20,16,11,15,13,16,16,,
Other Income,54,54,33,34,35,-393,33,19,-25,-35,,
Interest,425,457,419,664,570,512,533,496,398,351,,
Depreciation,392,498,528,794,918,951,919,869,884,895,,
Profit before tax,226,17,387,36,51,-645,206,27,551,625,,
Tax %,30,260,36,171,37,-102,28,18,35,—,,
Net Profit,158,-26,249,-26,32,16,147,22,360,386,,
EPS in Rs,10.54,-1.32,10.28,-0.82,0.9,0.44,4.13,0.61,10.06,10.8,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,150,150,200,242,315,357,357,357,357,357,,
Reserves,3799,3967,4788,5037,7009,8464,8482,8626,8645,8985,,
Borrowings,4314,4369,4683,4513,7792,5575,4785,4404,4074,4916,,
Other Liabilities,3022,3133,3590,3652,4792,5218,5364,5323,5082,6041,,
Total Liabilities,11285,11619,13262,13444,19907,19615,18988,18710,18158,20299,,
Fixed Assets,8916,8690,9895,9970,15042,15409,14962,15027,14702,14478,,
CWIP,143,144,605,647,1240,399,596,488,387,2683,,
Investments,412,844,456,0,384,186,0,1,1,1,,
Other Assets,1814,1942,2306,2827,3241,3621,3430,3194,3067,3137,,
Total Assets,11285,11619,13262,13444,19907,19615,18988,18710,18158,20299,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,922,951,860,1025,1717,1221,1711,1593,1329,1485,,
Cash from Investing Activity,-513,-602,-149,-310,-2898,-190,-260,-573,-337,-2500,,
Cash from Financing Activity,-503,-387,-647,-559,1420,-1420,-1362,-1114,-913,927,,
Net Cash Flow,-94,-38,65,156,239,-390,89,-95,79,-89,,
Free Cash Flow,781,734,279,455,1170,811,1260,1013,978,775,,
CFO/OP,135,105,96,86,120,86,143,101,97,84,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,31,25,26,27,22,22,21,20,23,24,,
Inventory Days,114,125,148,179,215,283,215,177,135,128,,
Days Payable,234,193,193,233,263,316,348,315,281,282,,
Cash Conversion Cycle,-88,-44,-20,-27,-26,-11,-113,-118,-123,-130,,
Working Capital Days,-41,-113,-102,-115,-161,-88,-102,-102,-111,-98,,
ROCE %,—,7,5,8,6,4,2,5,4,7,,
