Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,599,668,833,558,843,768,1308,744,951,913,1669,893
Expenses,472,539,716,455,714,646,1129,628,797,780,1436,762
Operating Profit,127,130,117,103,129,121,180,116,154,133,233,132
OPM %,21,19,14,19,15,16,14,16,16,15,14,15
Other Income,2,-4,31,2,5,12,32,18,-2,1,8,9
Interest,1,0,4,1,1,1,1,1,1,1,2,1
Depreciation,38,41,43,38,40,43,60,44,47,49,49,50
Profit before tax,90,84,102,67,94,90,151,89,105,85,190,89
Tax %,25,26,24,27,23,27,25,26,28,27,25,26
Net Profit,68,62,78,49,73,65,113,66,76,62,142,66
EPS in Rs,2.12,1.94,2.42,1.52,2.26,2.03,3.53,2.06,2.37,1.94,4.42,2.05
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,984,986,1081,1337,1522,1957,2568,3478,4277,4427,,
Expenses,710,685,747,1010,1154,1578,2103,2943,3640,3775,,
Operating Profit,273,301,333,328,368,379,464,535,638,652,,
OPM %,28,31,31,24,24,19,18,15,15,15,,
Other Income,41,-6,-18,28,76,35,28,52,26,17,,
Interest,2,5,4,2,4,6,6,4,5,4,,
Depreciation,119,112,131,159,160,154,158,180,189,196,,
Profit before tax,194,179,181,195,280,254,328,402,470,470,,
Tax %,19,39,24,28,25,26,25,25,26,—,,
Net Profit,156,110,138,140,208,188,246,300,346,346,,
EPS in Rs,4.87,3.42,4.31,4.37,6.49,5.87,7.67,9.34,10.79,10.78,,
Dividend Payout %,12,58,49,50,37,43,37,31,30,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,321,321,321,321,321,321,321,321,321,321,,
Reserves,838,928,963,1040,1082,1195,1328,1506,1679,1941,,
Borrowings,0,0,1,43,0,32,42,46,45,64,,
Other Liabilities,1155,1010,870,852,1213,1212,1658,2177,3117,3505,,
Total Liabilities,2315,2259,2156,2256,2616,2759,3349,4050,5161,5830,,
Fixed Assets,694,688,790,789,760,775,821,913,1081,1281,,
CWIP,360,364,300,253,215,164,157,130,124,81,,
Investments,0,10,17,10,10,40,40,90,39,0,,
Other Assets,1261,1197,1049,1204,1632,1781,2330,2916,3917,4468,,
Total Assets,2315,2259,2156,2256,2616,2759,3349,4050,5161,5830,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,—,—,—,154,374,258,284,556,255,316,,
Cash from Investing Activity,—,—,—,-48,-135,-213,-203,-419,-82,-77,,
Cash from Financing Activity,—,—,—,-62,-110,-104,-79,-77,-113,-150,,
Net Cash Flow,—,—,—,43,130,-59,3,60,60,89,,
Free Cash Flow,—,—,—,76,294,142,107,347,-70,44,,
CFO/OP,—,—,—,57,128,83,83,126,55,56,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,160,173,169,160,208,160,195,180,166,175,,
Cash Conversion Cycle,160,173,169,160,208,160,195,180,166,175,,
Working Capital Days,-91,1,-17,15,-6,7,50,-21,30,34,,
ROCE %,17,16,17,17,14,16,16,20,22,23,,
