Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%,63.75%
FIIs,3.23%,3.27%,4.66%,4.56%,5.62%,4.78%,4.68%,6.13%,6.49%,7.13%,8.98%,8.97%
DIIs,6.97%,8%,7.92%,8.7%,3.65%,3.64%,3.17%,2.57%,2.58%,2.41%,2.49%,2.08%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,20.04%,19.73%,19.21%,19.29%,23.35%,24.1%,24.48%,23.66%,23.45%,22.74%,20.94%,21.11%
Others,6.01%,5.25%,4.46%,3.7%,3.64%,3.73%,3.93%,3.88%,3.73%,3.97%,3.85%,4.09%
No. of Shareholders,209199,219463,304527,324156,441535,452481,460808,463965,447555,419705,396720,385658
