Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-2.59%,25.88%,254.85%
,ebitda margin growth,5.61%,6.46%,8.54%,54.2%
,net income growth,7.99%,16.04%,46%,35%
,revenue growth,3.64%,9.71%,12%,15%
,roce,—,8.55%,52.73%,18.12%
,roe,—,-3.93%,20.08%,-47.13%
